Zodis          Pasikartoja    Eilutese  
A              3              17 17 20 
As             5              1 18 33 33 36 
At             2              4 53 
Because        2              10 32 
Even           4              7 15 27 31 
Fascinus       12             39 40 41 41 41 42 45 45 51 51 51 54 
Firelight      2              33 33 
He             16             10 14 14 18 24 24 26 27 36 39 42 45 46 51 52 53 
Hes            2              26 29 
His            5              14 31 37 54 54 
How            2              12 16 
I              3              23 26 28 
In             3              5 30 44 
Instead        2              18 21 
It             9              7 14 24 38 38 41 41 45 49 
Lara           21             1 2 3 6 7 11 14 14 14 16 18 19 20 27 27 28 29 30 30 35 45 
Laras          9              3 5 5 8 9 9 22 33 34 
Larth          23             10 10 14 14 15 17 18 19 19 20 24 25 31 31 33 36 36 37 39 41 41 42 42 
Larths         3              14 32 45 
Like           2              14 36 
Many           2              5 51 
Now            3              14 32 51 
Papa           3              11 47 50 
Po             7              19 19 20 23 26 28 34 
She            12             7 7 7 7 7 33 46 49 51 52 53 54 
Sometimes      2              10 40 
Tarketios      8              31 32 33 33 33 35 52 53 
The            30             1 1 2 6 7 9 9 9 10 13 13 15 15 17 17 18 18 20 22 24 33 35 35 37 41 41 42 44 44 52 
There          2              21 53 
They           4              2 2 4 32 
Those          2              40 42 
When           6              4 20 22 33 40 52 
With           2              5 43 
a              74             1 1 1 2 2 2 2 2 2 3 4 4 7 7 9 9 9 9 9 14 14 15 15 15 15 15 15 15 15 15 15 15 17 17 18 19 20 20 21 24 24 27 27 31 32 32 33 33 35 36 36 38 38 38 39 39 39 41 41 41 41 42 42 42 43 44 44 45 52 53 53 53 53 54 
about          4              16 17 42 51 
across         3              15 22 33 
again          5              6 20 37 43 51 
age            2              14 26 
air            3              19 37 44 
all            7              8 10 14 14 17 22 36 
almost         2              23 37 
along          5              3 7 8 9 13 
already        2              19 46 
always         9              3 7 7 14 17 19 39 40 41 
amid           4              4 7 7 53 
an             7              2 19 32 41 41 49 53 
and            85             1 3 3 3 4 4 4 5 5 5 5 6 7 7 7 7 7 7 7 7 9 9 9 9 10 10 10 10 14 14 15 15 16 16 17 18 18 19 19 20 20 20 20 22 24 24 27 28 28 30 31 31 31 32 32 32 32 33 33 33 33 33 34 34 35 38 38 39 40 41 41 42 42 42 42 42 44 49 52 52 53 53 54 54 54 
animal         2              5 18 
animated       2              17 40 
another        3              21 32 40 
appeared       2              24 41 
approach       2              18 53 
arms           4              2 27 33 54 
around         4              7 33 53 54 
as             14             5 5 18 22 31 31 32 33 36 42 52 54 54 54 
at             22             7 7 7 9 9 15 16 16 17 18 18 22 28 29 30 32 33 33 33 35 39 40 
awake          4              36 46 52 52 
back           4              3 6 7 53 
bank           4              18 22 23 24 
be             6              7 10 21 38 40 45 
bearing        2              1 14 
because        2              14 45 
beds           2              4 17 
been           12             3 3 7 9 14 14 22 31 32 41 49 52 
before         4              13 15 24 39 
beginning      2              14 41 
beside         7              1 2 2 4 45 46 53 
between        2              19 54 
bigger         2              13 54 
blinked        2              37 43 
brighter       2              37 53 
brightness     2              38 44 
but            17             1 9 14 14 15 17 19 22 22 38 40 42 44 46 51 51 54 
by             10             17 18 31 37 41 41 41 44 52 54 
called         2              10 19 
came           2              52 52 
camp           3              2 35 52 
carried        2              19 32 
cloth          2              5 9 
coastal        2              5 32 
come           2              13 41 
companions     2              31 32 
cool           2              7 44 
could          11             7 10 10 10 15 15 15 15 15 31 40 
creature       3              18 20 20 
crib           3              9 9 9 
darkness       4              36 44 52 54 
day            5              7 7 17 17 32 
days           2              1 10 
deer           6              18 18 18 20 20 31 
did            6              12 24 31 49 51 52 
died           3              14 14 44 
distance       2              22 27 
do             2              41 49 
down           6              6 7 9 15 17 36 
each           2              15 31 
eat            2              7 7 
encountered    2              14 42 
end            2              9 41 
entered        2              39 54 
even           3              39 40 42 
every          3              14 52 52 
existed        2              40 41 
eyes           3              23 33 37 
face           3              2 37 44 
faint          2              53 53 
far            2              5 35 
father         4              9 34 51 52 
felt           2              7 7 
fig            3              1 1 13 
fire           5              15 33 36 36 39 
fish           2              7 21 
flames         7              33 37 37 38 38 41 44 
foothills      3              5 5 7 
for            9              5 9 9 31 32 35 41 49 54 
forth          2              3 7 
friendly       2              31 40 
from           15             4 5 5 17 21 21 22 27 32 32 40 41 41 52 53 
frowned        3              17 28 34 
full           2              1 4 
gathered       3              4 5 9 
gave           3              24 35 54 
gentle         2              7 54 
give           2              5 15 
given          3              39 41 51 
god            2              42 42 
gods           2              42 42 
good           3              2 7 22 
great          3              4 7 22 
grew           2              7 7 
grin           2              33 35 
group          6              4 4 9 10 19 21 
guidance       2              41 51 
had            45             2 3 3 3 7 9 9 9 10 14 14 14 14 14 14 14 15 15 17 18 22 22 27 31 32 33 37 39 39 39 41 41 41 42 42 42 44 45 49 51 51 51 51 52 54 
hair           2              14 53 
handcarts      2              3 4 
hands          2              24 33 
have           2              9 23 
he             20             10 10 14 14 14 14 15 15 15 19 20 20 33 35 38 39 42 43 51 53 
heard          3              15 18 42 
her            22             3 6 7 7 14 16 16 20 20 33 46 46 51 51 52 52 52 53 53 53 54 54 
herself        2              18 53 
hill           2              1 13 
hills          9              9 9 13 13 13 16 17 32 32 
him            13             10 14 15 15 17 25 36 36 41 41 48 52 53 
his            31             2 10 14 14 14 14 14 14 15 15 24 24 31 32 33 33 33 33 35 36 37 39 41 42 44 52 53 53 53 53 53 
home           3              7 7 32 
hot            3              1 7 44 
if             2              18 54 
images         2              10 42 
important      2              15 41 
in             36             1 1 2 3 5 5 7 8 9 9 9 10 10 10 14 19 22 31 33 38 39 39 40 41 41 42 42 42 45 49 51 52 53 53 54 54 
into           4              4 17 35 36 
island         19             2 2 2 8 9 9 9 11 13 22 23 24 24 24 32 32 33 35 52 
it             19             4 9 15 16 16 17 19 23 23 32 38 38 39 40 41 41 45 47 51 
its            4              15 39 41 51 
itself         4              7 15 41 53 
journey        2              3 32 
just           2              13 52 
knew           2              7 52 
know           2              12 25 
land           2              9 9 
landscape      2              10 17 
last           3              14 22 36 
leafy          2              45 52 
leather        2              22 53 
left           3              16 22 22 
legs           2              20 54 
life           6              3 7 14 41 41 54 
like           16             2 2 3 7 9 9 9 9 10 15 20 28 33 38 40 53 
liked          3              7 36 45 
little         4              4 5 40 52 
lived          3              5 14 42 
long           7              1 14 20 22 24 31 32 
longer         3              9 36 44 
look           2              9 28 
looked         3              2 28 35 
looks          3              26 34 34 
lying          3              49 52 52 
made           13             5 7 16 16 17 17 22 33 38 42 45 51 53 
man            11             2 14 14 15 15 15 24 24 27 30 31 
mans           2              2 31 
many           2              3 35 
met            2              32 42 
metal          4              32 35 52 53 
might          4              14 17 17 17 
mind           2              41 45 
moon           2              44 53 
moonlight      2              53 53 
more           3              31 31 39 
most           3              4 7 19 
mouth          3              4 17 24 
much           2              54 54 
must           3              23 45 45 
name           5              31 31 39 39 53 
neck           2              20 53 
need           2              46 49 
never          12             5 15 17 17 27 33 41 41 42 42 42 51 
night          4              7 7 33 44 
no             5              7 17 31 44 46 
not            15             1 3 22 24 24 28 29 31 31 40 40 45 49 51 52 
numen          3              15 15 36 
numina         7              10 14 15 17 40 40 40 
of             75             1 2 3 4 4 4 4 4 5 5 5 7 7 7 7 7 9 9 9 9 9 10 10 10 13 13 14 14 14 14 14 15 15 15 15 15 17 18 18 19 21 21 22 22 22 23 24 24 28 31 33 33 33 33 33 35 35 36 38 41 41 41 42 42 42 42 44 44 44 52 53 53 53 53 54 
off            2              7 13 
on             21             2 3 4 7 7 9 9 14 15 15 22 22 23 24 24 27 32 32 44 52 53 
once           2              9 51 
one            2              22 40 
only           2              5 44 
onto           2              18 53 
or             10             4 15 15 26 39 40 40 41 41 42 
origin         2              41 54 
other          5              2 7 36 40 42 
others         3              24 33 36 
out            2              4 54 
over           5              17 23 35 35 37 
own            3              14 15 54 
passed         2              9 22 
past           2              20 51 
path           14             1 2 3 3 4 6 7 7 7 8 18 32 32 52 
people         12             3 3 5 5 5 5 6 9 22 32 42 42 
phallus        2              39 41 
place          7              2 7 16 17 32 41 44 
planting       2              41 45 
precious       2              5 14 
rafts          4              22 22 22 24 
ran            4              1 4 19 20 
